Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Engaged views,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Transaction revenue (USD),Transactions,Revenue per transaction (USD),YouTube Premium (USD),Watch Page ads (USD),Estimated DoubleClick revenue (USD),Estimated AdSense revenue (USD),YouTube ad revenue (USD),Ad impressions,Playback-based CPM (USD),CPM (USD),Estimated monetized playbacks,RPM (USD),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,0:01:28,50.92,451057,66.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764290,11168.4779,5876,0,878587,4.06
UObM30FGdSs,The 12 Tribes origins and historical significance!  #history #biblicalexploration #history,"Feb 15, 2025",45,0:01:05,146.2,89201,70.63,,,,,,,,,,,,,,,,,,,,115217,1634.71,1446,,99676,4.52
WpEsJWK1Awo,Part 11: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",45,0:01:11,159.35,27591,72.98,,,,,,,,,,,,,,,,,,,,59920,553.7381,362,,14271,6.23
fGuiMnJQsjY,Why God Chose The Smallest Nation To Be SPECIAL? #blackhistory @AIBIBLEGOSPELS,"Mar 3, 2025",40,0:01:08,171.27,16605,77.32,,,,,,,,,,,,,,,,,,,,22300,316.2635,225,,46428,7.53
hNt6alQiIVE,Part 28 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",58,0:01:28,152.86,16009,75.91,,,,,,,,,,,,,,,,,,,,33316,396.3603,153,,16766,5.79
rjtM2N5MIGM,Part 33 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 5, 2025",62,0:01:18,126.93,13473,79.17,,,,,,,,,,,,,,,,,,,,27022,296.0819,150,,16391,7.84
RSooE7guQxg,Noah Youngins #biblicalexploration #history #blackhistory @AIBIBLEGOSPELS,"Feb 19, 2025",37,0:00:57,155.81,12983,68.24,,,,,,,,,,,,,,,,,,,,13123,207.9222,122,,2973,2.66
H9jblXXVHxY,Where Did The Lost Tribes of Israel Really Go? #history #biblicalexploration #blackhistory,"Feb 9, 2025",38,0:00:59,156.08,11443,78.98,,,,,,,,,,,,,,,,,,,,12009,188.5964,140,,13163,3.31
EWksyIbaImo,Part 37 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 7, 2025",55,0:01:17,140.68,10531,71.04,,,,,,,,,,,,,,,,,,,,22270,227.9823,55,,4131,2.4
dKw6UGVQF98,Part 10  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 28, 2025",44,0:01:02,142.09,9715,63.87,,,,,,,,,,,,,,,,,,,,19415,170.5501,72,,4366,3.21
mAJS97kNC5E,The Prophecy Reveled : Chosen 12 Tribes of Israel (Official Movie ) @AIBIBLEGOSPELS,"May 26, 2025",5367,0:17:24,19.46,9338,,,,,,,,,,,,,,,,,,,,,9338,2709.8534,236,,116040,4.37
svPYMDJB6f4,Part 8 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 27, 2025",40,0:00:55,139.21,9138,65.27,,,,,,,,,,,,,,,,,,,,16962,142.5966,60,,6659,3.08
0XrtYFN9Kr0,Part 17 :  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",56,0:01:03,114.05,7877,67.26,,,,,,,,,,,,,,,,,,,,16161,141.3655,53,,5472,3.38
JVB7mOU2AhI,Part 20 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 1, 2025",59,0:01:21,137.66,7548,71.11,,,,,,,,,,,,,,,,,,,,16369,171.6082,65,,3130,2.84
DEYNUT9uoxM,12 Tribes Of Israel what did the tribe of Judah do? #history @AIBIBLEGOSPELS,"Feb 21, 2025",34,0:00:45,133.45,7524,61.75,,,,,,,,,,,,,,,,,,,,8223,94.9211,45,,21061,3.2
isBUYL7jvdY,Part 47 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 19, 2025",58,0:01:28,153.32,7199,71.91,,,,,,,,,,,,,,,,,,,,15570,178.979,65,,2200,2.41
8pMiLny_LOc,Part 44 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 15, 2025",56,0:01:16,136.64,6522,77.43,,,,,,,,,,,,,,,,,,,,12811,139.4167,60,,12492,6.31
m51Aex5Y6Aw,Who are the Scattered Hebrew Israelites in the Americas? #history #biblicalexploration #blackhistory,"Feb 13, 2025",51,0:01:08,133.98,5435,64.73,,,,,,,,,,,,,,,,,,,,5593,103.1797,46,,5612,4.79
JtHZygSmaH8,Part 21 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 1, 2025",51,0:01:07,132.36,5224,67.78,,,,,,,,,,,,,,,,,,,,11466,99.0727,38,,4065,4.85
_VyT3Wja8rI,Part 11 :  The Prophecy revealed : Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",50,0:01:00,120.29,5003,60.33,,,,,,,,,,,,,,,,,,,,9728,84.5267,27,,4151,2.07
Ad3mUsbLL3w,The Chosen: 12 Tribes of Israel – Teaser Trailer @AIBIBLEGOSPELS,"Apr 12, 2025",68,0:00:29,43.51,4610,,,,,,,,,,,,,,,,,,,,,4610,37.8879,64,,10426,3.89
xMqnO931dic,Part 66: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 7, 2025",50,0:01:25,171.57,4545,76.93,,,,,,,,,,,,,,,,,,,,9608,108.8749,45,,11703,7.22
f9RM-psiCu0,Part 34 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 5, 2025",59,0:01:27,148.56,4388,73.12,,,,,,,,,,,,,,,,,,,,9407,107.5925,28,,3755,6.6
wlF2yDtDdfo,Part 45 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 17, 2025",59,0:01:17,130.63,4129,72.24,,,,,,,,,,,,,,,,,,,,8621,89.0637,59,,2302,3.26
9H4yPDLobmw,Part 15 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",52,0:01:06,127.64,3982,70.17,,,,,,,,,,,,,,,,,,,,8274,74.1016,11,,1677,1.91
8sw0hlTmmaw,Part 62 :  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 2, 2025",59,0:01:09,117.21,3827,68.4,,,,,,,,,,,,,,,,,,,,7839,74.2691,27,,3914,3.81
HiOEk8CogA8,Part 18 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",56,0:01:01,109.55,3791,63.51,,,,,,,,,,,,,,,,,,,,8155,65.4722,15,,2604,2.61
VtwWyI_SQnc,Part 35 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 6, 2025",58,0:01:16,131.04,3715,71.41,,,,,,,,,,,,,,,,,,,,7647,79.1628,23,,2588,1.97
cNj0lEfNFiA,Part 29 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",54,0:01:29,165.19,3645,73.54,,,,,,,,,,,,,,,,,,,,7684,90.861,21,,3557,5.9
mMkUmDuniVQ,Part 22 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 1, 2025",58,0:01:27,151.18,3552,66.75,,,,,,,,,,,,,,,,,,,,7853,87.3027,16,,2555,3.13
NAYa0kXwSwQ,Part 19 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 1, 2025",57,0:01:07,119.12,3502,76.84,,,,,,,,,,,,,,,,,,,,6802,66.5165,16,,2218,2.89
0c45lrmSNCo,Part 32 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 4, 2025",58,0:01:33,161.55,3500,73.74,,,,,,,,,,,,,,,,,,,,7417,91.6465,25,,4880,4.55
ry_PjMpdi8Q,Part 40 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 11, 2025",52,0:00:58,112.58,3470,69.57,,,,,,,,,,,,,,,,,,,,6714,57.0602,11,,2960,1.59
TZV8LKt-t5E,Part 48 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 22, 2025",52,0:01:05,125.07,3151,56.15,,,,,,,,,,,,,,,,,,,,7335,57.9292,21,,4625,3.03
XJYSaQ1fpxU,Biblical Curses That Changed World History FOREVER! #history #biblicalexploration #blackhistory,"Feb 11, 2025",41,0:01:04,157.6,3042,64.95,,,,,,,,,,,,,,,,,,,,3159,54.6241,41,,3277,3.14
L84JUXnMoR8,The Hidden Truth About The 12 Tribes of Israel REVEALED #history @AIBIBLEGOSPELS,"Feb 22, 2025",34,0:00:58,171.09,2981,60.73,,,,,,,,,,,,,,,,,,,,3067,48.1841,33,,3853,3.27
Zs2ctQoZmhU,The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Feb 25, 2025",248,0:01:51,44.99,2835,,,,,,,,,,,,,,,,,,,,,2835,87.8655,63,,37828,4.46
jzhLtWD4Qtw,Part 41 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 12, 2025",57,0:00:56,99.33,2760,78.31,,,,,,,,,,,,,,,,,,,,4918,43.7558,11,,1606,1.81
crLefjKVnVk,Part 3 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Mar 24, 2025",55,0:01:14,135.78,2692,68.38,,,,,,,,,,,,,,,,,,,,3178,55.9143,16,,2237,1.88
nVOXmuAJPuY,Part 36 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 7, 2025",58,0:01:26,148.89,2574,68.75,,,,,,,,,,,,,,,,,,,,5525,62.2135,13,,3100,2.39
-814ghiFIXg,Part 43 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Apr 14, 2025",60,0:01:02,104.43,2556,67.65,,,,,,,,,,,,,,,,,,,,4991,45.0801,7,,1667,3.12
TBNEIWRpnzI,Part 31 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",57,0:01:16,134.92,2543,67.97,,,,,,,,,,,,,,,,,,,,5512,54.8204,16,,4818,3.84
rq27Uvxudwg,Who and Where are the lost 12 Tribes of Israel today? #history #biblicalexploration #Blackhistory,"Feb 14, 2025",40,0:00:59,148.89,2487,64.06,,,,,,,,,,,,,,,,,,,,2885,41.1929,23,,7896,3.29
6rni7hocXVM,Part 71 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 15, 2025",56,0:00:55,99.12,2381,65.27,,,,,,,,,,,,,,,,,,,,4827,37.2277,9,,3634,6.44
bjjjgJR1wKY,Part 4 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Mar 25, 2025",59,0:01:07,114.72,2375,65.54,,,,,,,,,,,,,,,,,,,,2758,44.7297,20,,1680,3.04
OP8DH3QeOlM,Part 15 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",43,0:00:50,117.63,2366,61.8,,,,,,,,,,,,,,,,,,,,5095,33.8073,9,,1168,2.05
h7pYxWAEci0,Part 13 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",43,0:00:54,127.82,2317,62.23,,,,,,,,,,,,,,,,,,,,4014,35.6557,9,,3592,3.03
BfPot9X6Yyk,Part 14 :  The Prophecy revealed : Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",49,0:00:34,71.33,2165,62.63,,,,,,,,,,,,,,,,,,,,3847,21.5154,10,,1861,1.72
8qjE34r7ISM,The Prophecy Revealed : They look like us #history #biblicalexploration #blackhistory,"Feb 12, 2025",39,0:00:38,97.58,2161,58.63,,,,,,,,,,,,,,,,,,,,2258,22.8584,10,,1838,3.48
yo48yhFzwaM,Lost Tribes of Israel Found Through Biblical Prophecies! #blackhistory @AIBIBLEGOSPELS,"Feb 12, 2025",44,0:01:06,150.91,2083,66.42,,,,,,,,,,,,,,,,,,,,2210,38.4286,11,,3536,2.55
Iu9j9lbO1L0,Part 10 :  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 28, 2025",58,0:00:48,84.17,1969,71.41,,,,,,,,,,,,,,,,,,,,2250,26.7689,5,,1174,1.79
9YpL3hEPQuY,Part 39 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 10, 2025",62,0:01:17,124.56,1954,63.63,,,,,,,,,,,,,,,,,,,,4249,42.4165,5,,2517,3.89
HS36EPP5zgc,Part 16: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",53,0:01:02,116.99,1702,65.22,,,,,,,,,,,,,,,,,,,,3120,29.6149,7,,1849,1.57
LwPZQ-wPjnc,Ancient Mystery of Israel's Missing Tribes FINALLY Explained! #blackhistory @AIBIBLEGOSPELS,"Feb 6, 2025",51,0:01:09,136.53,1649,69.98,,,,,,,,,,,,,,,,,,,,1817,31.9164,9,,4932,2.78
CoqyWeGFwik,Part 22 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 2, 2025",61,0:01:18,129.44,1643,59.98,,,,,,,,,,,,,,,,,,,,3651,36.6008,9,,3451,2.93
MkoJO402Rmc,Part 26 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 2, 2025",61,0:01:28,144.55,1632,73.8,,,,,,,,,,,,,,,,,,,,3447,40.2072,11,,3023,3.37
DXG-tql5TP8,The Most High Chosen “ How special we are” @AIBIBLEGOSPELS,"Mar 18, 2025",55,0:00:51,93.03,1620,66.72,,,,,,,,,,,,,,,,,,,,1713,23.0398,17,,1941,5
vEB569AEDwg,Part 24 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 2, 2025",56,0:00:56,100.54,1583,69.74,,,,,,,,,,,,,,,,,,,,3120,25.0535,8,,1540,3.9
GrqhQqq8hCQ,Part 1 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Mar 23, 2025",54,0:01:12,134.78,1504,60.25,,,,,,,,,,,,,,,,,,,,1961,30.4667,13,,1748,2.46
gK7bK1ktRR4,Part 61 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 1, 2025",56,0:01:06,118.14,1494,56.85,,,,,,,,,,,,,,,,,,,,3372,27.9276,9,,1856,2.8
wKtfQLOH9ww,The Hidden Truth About The Chosen People REVEALED @AIBIBLEGOSPELS,"Mar 17, 2025",54,0:00:54,101.36,1431,61.58,,,,,,,,,,,,,,,,,,,,1529,21.7685,3,,2283,3.2
UrZyd9pzI70,Part 42 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 13, 2025",62,0:01:09,112.12,1425,68.83,,,,,,,,,,,,,,,,,,,,2893,27.8081,2,,2569,1.52
O28keEFsM7I,Part 64 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 4, 2025",54,0:01:12,134.27,1282,64.23,,,,,,,,,,,,,,,,,,,,2897,26.0653,6,,1171,3.84
5C2It2rF_CY,Part 2 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Mar 23, 2025",56,0:01:04,114.31,1274,63.19,,,,,,,,,,,,,,,,,,,,1371,22.6662,9,,1878,1.7
SWZId0P96f8,Part 38 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 8, 2025",66,0:01:04,97.08,1241,72.14,,,,,,,,,,,,,,,,,,,,2346,22.3316,2,,1572,3.24
4vj5cDipimw,Part 9 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 29, 2025",40,0:00:34,85.19,1235,48.7,,,,,,,,,,,,,,,,,,,,1695,11.7975,5,,3065,3.46
0bcCriDBO7w,Part 25 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 2, 2025",57,0:00:55,96.81,1182,66.51,,,,,,,,,,,,,,,,,,,,2459,18.3465,6,,1795,1.39
9jiykCkltok,Part 23 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 2, 2025",66,0:01:21,123.61,1177,67.48,,,,,,,,,,,,,,,,,,,,2435,26.9259,6,,2554,5.29
OHfVqkni9g0,Part 5 The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 25, 2025",45,0:00:34,76.57,1163,58.58,,,,,,,,,,,,,,,,,,,,1259,11.1506,3,,1365,1.68
WBTvL8yDu70,The Mystery Behind The 12 Lost Tribes of Israel REVEALED? #blackhistory @AIBIBLEGOSPELS,"Feb 7, 2025",39,0:00:39,101.76,1085,66.24,,,,,,,,,,,,,,,,,,,,1265,11.9854,7,,5471,2.25
7lEXIjb1w8c,Part 8 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Mar 26, 2025",54,0:00:48,90.67,1069,51.05,,,,,,,,,,,,,,,,,,,,1178,14.5612,4,,1085,1.94
Fw4kOZmriqs,What The Sacred Scriptures REALLY Tell Us About Salvation @AIBIBLEGOSPELS,"Mar 15, 2025",31,0:00:33,108.24,1049,45.69,,,,,,,,,,,,,,,,,,,,1134,9.7873,9,,1721,1.8
dHw41Z7hmVM,Part 58 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 28, 2025",57,0:00:42,75.08,1035,72.46,,,,,,,,,,,,,,,,,,,,1772,12.4924,5,,946,3.38
V-dUWFIYZQE,Part 55 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 28, 2025",57,0:01:28,155.82,1003,70.09,,,,,,,,,,,,,,,,,,,,2059,24.9099,5,,1821,2.2
dpERIR0YZZ8,The Most Powerful Biblical Discovery They Kept SECRET! #blackhistory #History Deuteronomy 28:1-14,"Mar 5, 2025",326,0:01:44,32.02,987,,,,,,,,,,,,,,,,,,,,,987,28.6165,11,,11800,3.3
p3aXUpiFT2k,Jacob summon his son @AIBIBLEGOSPELS,"Mar 4, 2025",14,0:00:22,161,922,55.3,,,,,,,,,,,,,,,,,,,,1020,5.7857,7,,1462,2.19
StUObmgtTqw,Part 49 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 23, 2025",59,0:00:48,81.41,874,45.96,,,,,,,,,,,,,,,,,,,,2062,12.0148,2,,1591,3.96
KK4BaRSCneI,The Hidden Story Behind The 12 Tribes of Israel That Will Amaze You! #blackhistory @AIBIBLEGOSPELS,"Feb 7, 2025",56,0:00:51,92.4,845,69.63,,,,,,,,,,,,,,,,,,,,973,12.1724,9,,3321,2.86
B6vbnPpsX0Y,Ancient Biblical Mystery! #history #biblicalexploration #blackhistory @AIBIBLEGOSPELS,"Feb 2, 2025",59,0:01:07,114.95,806,51.2,,,,,,,,,,,,,,,,,,,,923,15.1925,5,,1462,4.92
Mgkob7zPCXg,Part 66 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 8, 2025",62,0:01:10,112.97,780,72.81,,,,,,,,,,,,,,,,,,,,1545,15.287,5,,663,4.52
